# Mənbə: GeoNames (https://www.geonames.org) cities15000 — CC BY 4.0.
# Sütunlar: ad<TAB>qatlanmış adlar (|)<TAB>ölkə<TAB>enlik<TAB>uzunluq<TAB>hündürlük(m)
# Sıra ƏHALİYƏ görə azalandır — axtarış böyük şəhərləri əvvəl qaytarsın deyə;
# bu, ayrıca əhali sütunu saxlamağı lazımsız edir.
Queens	queens	US	40.681	-73.837	12
Houston	houston|hyuston	US	29.763	-95.363	12
Mashhad	mashhad|meshed|meshhed	IR	36.298	59.606	980
Shaoxing	shaoxing|shaosin	CN	30.002	120.579	21
Nantong	nantong|nantun	CN	32.030	120.875	6
Baoshan	baoshan	CN	31.408	121.490	5
Kowloon	kowloon|tszyulun	HK	22.317	114.183	92
Gaziantep	gaziantep|qaziantep	TR	37.059	37.383	842
Lubumbashi	lubumbashi	CD	-11.661	27.479	1260
Manaus	manaus	BR	-3.102	-60.025	20
Lusaka	lusaka	ZM	-15.407	28.287	1277
Brasília	brasilia|brazilia|braziliya	BR	-15.780	-47.930	1136
Zhuhai	zhuhai|chzhuhay	CN	22.277	113.568	35
Santo Domingo	santo domingo|santo dominqo	DO	18.472	-69.892	24
Dandong	dandong|dandun	CN	40.129	124.395	10
Lomé	lome	TG	6.129	1.222	13
Multan	multan	PK	30.197	71.478	126
Havana	havana|gavana	CU	23.133	-82.383	41
Depok	depok	ID	-6.400	106.819	92
Ordos	ordos	CN	39.609	109.782	2149
Paris	paris|parizh	FR	48.853	2.349	42
Coimbatore	coimbatore|koimbatur	IN	11.006	76.966	411
Qingyang	qingyang	CN	35.710	107.645	1427
Port Harcourt	port harcourt|port harkurt|port harkort	NG	4.777	7.013	16
Pretoria	pretoria|pretoriya	ZA	-25.745	28.188	1332
Córdoba	cordoba|kordova	AR	-31.406	-64.189	378
Mbuji-Mayi	mbuji mayi|mbuzhi mayi	CD	-6.136	23.590	621
Aleppo	aleppo|heleb|halep|haleb	SY	36.201	37.161	401
Kunshan	kunshan	CN	31.378	120.954	10
Al Mawşil al Jadīdah	al mawsil al jadidah	IQ	36.333	43.106	239
Zunyi	zunyi|tszuni	CN	27.687	106.907	867
La Paz	la paz|la pas	BO	-16.500	-68.150	3782
Lianyungang	lianyungang|lyanyungan	CN	34.598	119.216	1
Medellín	medellin|medelin	CO	6.245	-75.572	1405
Puning	puning	CN	23.311	116.169	12
Indore	indore|indor	IN	22.718	75.833	550
Brazzaville	brazzaville|brazzavil|brazavil	CG	-4.266	15.283	284
Tashkent	tashkent|daskend|taskent	UZ	41.265	69.216	424
Ganzhou	ganzhou|ganchzhou	CN	25.847	114.933	117
Almaty	almaty|almati	KZ	43.252	76.912	783
Khartoum	khartoum|xartum|hartum	SD	15.552	32.532	381
Hamburg	hamburg|hamburq|gamburg	DE	53.551	9.993	9
Sapporo	sapporo	JP	43.067	141.350	26
Songjiang	songjiang	CN	31.034	121.223	3
Accra	accra|akkra	GH	5.556	-0.197	33
Curitiba	curitiba|kuritiba	BR	-25.428	-49.273	924
Sanaa	sanaa|sena|san a|sana	YE	15.355	44.206	2253
Conakry	conakry|konakri	GN	9.538	-13.677	13
Tangerang	tangerang|tanqeranq	ID	-6.178	106.630	18
Tijuana	tijuana|tixuana|tihuana	MX	32.503	-117.004	97
Hyderabad	hyderabad|haydarabad	PK	25.397	68.377	14
Beirut	beirut|beyrut	LB	33.893	35.502	40
Jieyang	jieyang|tszeyan	CN	23.542	116.366	7
Jilin	jilin|tszilin	CN	43.847	126.561	188
Jiading	jiading	CN	31.386	121.245	9
Bucharest	bucharest|buxarest|bukres|buharest	RO	44.432	26.106	83
Camayenne	camayenne	GN	9.535	-13.688	6
Kakamega	kakamega|kakamege	KE	0.284	34.752	1563
Shangqiu	shangqiu	CN	34.414	115.656	52
Nanchong	nanchong|nanchun	CN	30.795	106.085	287
Tainan	tainan|taynan	TW	22.991	120.213	26
Kaduna	kaduna	NG	10.526	7.439	626
Omdurman	omdurman	SD	15.645	32.478	391
Davao	davao	PH	7.073	125.613	13
Thāne	thane|thana	IN	19.197	72.964	23
Iztapalapa	iztapalapa|istapalapa	MX	19.355	-99.062	2238
Diyarbakır	diyarbakir|diyarbekir	TR	37.914	40.217	674
Santa Cruz de la Sierra	santa cruz de la sierra|santa krus de la sierra	BO	-17.786	-63.181	433
Vadodara	vadodara	IN	22.299	73.208	46
Adana	adana	TR	36.986	35.325	30
Siping	siping|sipin	CN	43.161	124.378	176
Nanyang	nanyang|nanyan	CN	33.005	112.547	126
Abu Dhabi	abu dhabi|ebu dabi|abu dabi	AE	24.451	54.397	6
Palembang	palembang|palembanq	ID	-2.917	104.746	5
Sharjah	sharjah|sarja|sarika|shardzha	AE	25.334	55.412	15
Bhopal	bhopal	IN	23.255	77.403	523
Nanshan Residential	nanshan residential	CN	22.533	113.930	22
Jiangmen	jiangmen|tszyanmen	CN	22.583	113.083	11
Benin City	benin city|benin seheri|benin siti	NG	6.338	5.626	88
Jiangyin	jiangyin	CN	31.911	120.263	7
Fuyang	fuyang|fuyan	CN	32.900	115.817	31
Montréal	montreal|monreal	CA	45.509	-73.588	216
Bayan Nur	bayan nur	CN	40.741	107.386	1050
Chengtangcun	chengtangcun|tenchzhou	CN	35.084	117.191	73
Maracaibo	maracaibo|marakaybo	VE	10.642	-71.611	0
Chaozhou	chaozhou|chaochzhou	CN	23.654	116.623	23
Minsk	minsk	BY	53.900	27.567	222
Budapest	budapest|budapeste|budapesht	HU	47.498	19.040	104
Qingyuan	qingyuan|tsinyuan	CN	23.700	113.033	11
Tai’an	taian|tai an|tayan	CN	36.185	117.120	143
Rasapūdipalem	rasapudipalem	IN	17.733	83.316	45
Pimpri-Chinchwad	pimpri chinchwad|pimpri chinchvad	IN	18.619	73.804	568
Caloocan	caloocan|kalookan	PH	14.650	120.968	6
Warsaw	warsaw|varsava|varsova|varshava	PL	52.230	21.012	113
Soweto	soweto|soveto|soueto	ZA	-26.268	27.858	1632
Semarang	semarang|semaranq	ID	-6.993	110.421	18
Puebla	puebla|puebla de saragosa	MX	19.048	-98.207	2166
Vienna	vienna|vyana|viyana|vena	AT	48.208	16.372	171
Barcelona	barcelona|barselona	ES	41.389	2.159	15
Patna	patna	IN	25.594	85.136	53
Mosul	mosul|musul	IQ	36.335	43.119	228
Kallakurichi	kallakurichi	IN	11.734	78.959	124
Kampala	kampala	UG	0.316	32.582	1223
Changshu	changshu	CN	31.646	120.742	9
Ximeicun	ximeicun	CN	24.988	118.386	28
Rabat	rabat	MA	34.013	-6.833	46
Recife	recife|resifi	BR	-8.054	-34.881	8
Phoenix	phoenix|finiks	US	33.448	-112.074	331
Suzhou	suzhou|suchzhou	CN	33.636	116.979	34
Ecatepec de Morelos	ecatepec de morelos	MX	19.605	-99.061	2306
Lu’an	luan|lu an	CN	31.736	116.517	81
Valencia	valencia|valensiya	VE	10.162	-68.000	547
Ludhiana	ludhiana|ludhiyana	IN	30.912	75.854	256
Yancheng	yancheng|yanchen	CN	33.358	120.157	3
Novosibirsk	novosibirsk	RU	55.023	82.932	113
Erbil	erbil	IQ	36.191	44.009	429
Fukuoka	fukuoka	JP	33.600	130.417	3
Taizhou	taizhou|taychzhou	CN	32.491	119.908	10
Daqing	daqing|datsin	CN	46.583	125.000	146
Manila	manila	PH	14.604	120.982	13
Wuhu	wuhu|uhu	CN	31.353	118.429	9
Santiago de Querétaro	santiago de queretaro|keretaro	MX	20.588	-100.388	1826
Dazhou	dazhou|dachzhou	CN	31.211	107.463	292
León de los Aldama	leon de los aldama	MX	21.122	-101.683	1803
Makkah	makkah|mekke|mekka	SA	21.427	39.826	333
Philadelphia	philadelphia|filadelfiya	US	39.952	-75.164	12
Phnom Penh	phnom penh|pnompen	KH	11.562	104.916	20
Guilin	guilin|guylin	CN	25.280	110.296	141
Damascus	damascus|demesq|sam|damask	SY	33.510	36.291	701
Quetta	quetta|kvetta|ketta	PK	30.184	67.001	1683
Zhaoqing	zhaoqing|chzhaotsin	CN	23.049	112.461	16
Onitsha	onitsha|onicha	NG	6.150	6.786	57
Mianyang	mianyang|myanyan	CN	31.468	104.682	471
Auckland	auckland|oklend	NZ	-36.849	174.763	43
Isfahan	isfahan	IR	32.652	51.675	1578
Wanzhou	wanzhou	CN	30.765	108.396	205
Astana	astana	KZ	51.180	71.446	358
Harare	harare	ZW	-17.828	31.053	1494
Monrovia	monrovia|monroviya	LR	6.301	-10.797	32
Putian	putian|putyan	CN	25.439	119.010	23
Kawasaki	kawasaki|kavasaki	JP	35.521	139.717	1
Goiânia	goiania|goyaniya	BR	-16.679	-49.254	766
San Antonio	san antonio	US	29.424	-98.494	198
Kobe	kobe	JP	34.691	135.183	35
Stockholm	stockholm|stokholm|stokgolm	SE	59.329	18.069	17
Ciudad Juárez	ciudad juarez|syudad huares	MX	31.720	-106.461	1124
Cần Thơ	can tho|kan tho	VN	10.037	105.788	3
Munich	munich|munhen|munih|myunhen	DE	48.137	11.575	524
Khulna	khulna|hulna	BD	22.810	89.564	8
Belém	belem|belen	BR	-1.456	-48.504	15
Yekaterinburg	yekaterinburg|yekaterinburq|ekaterinburg	RU	56.857	60.615	278
Porto Alegre	porto alegre|portu alegri	BR	-30.033	-51.230	46
Manhattan	manhattan|manhetten	US	40.783	-73.966	35
Nashik	nashik|nasik	IN	19.997	73.791	584
Taizhou	taizhou|taychzhou	CN	28.663	121.433	15
Asunción	asuncion|asunson	PY	-25.286	-57.647	113
Yiwu	yiwu	CN	29.315	120.077	84
Zapopan	zapopan|sapopan	MX	20.721	-103.387	1565
Makassar	makassar	ID	-5.149	119.432	6
Adelaide	adelaide|adelaida	AU	-34.929	138.599	59
Quanzhou	quanzhou|tsyuanchzhou	CN	24.914	118.586	14
Madurai	madurai|maduray	IN	9.919	78.120	139
Jinhua	jinhua|tszinhua	CN	29.107	119.644	55
Kyoto	kyoto|kioto	JP	35.021	135.754	50
Cixi	cixi	CN	30.176	121.246	11
Changde	changde|chande	CN	29.032	111.698	38
Kuala Lumpur	kuala lumpur	MY	3.141	101.687	56
Kayseri	kayseri	TR	38.732	35.485	1054
Kaifeng	kaifeng|kayfen	CN	34.799	114.307	76
Karaj	karaj|kerec|karay	IR	35.833	50.992	1341
Kathmandu	kathmandu|katmandu	NP	27.702	85.321	1317
Daejeon	daejeon|tedzhon	KR	36.349	127.385	58
Baoji	baoji|baotszi	CN	34.368	107.237	567
Suqian	suqian	CN	33.949	118.296	23
Liuzhou	liuzhou|lyuchzhou	CN	24.324	109.407	102
Tirunelveli	tirunelveli	IN	8.727	77.684	49
Konya	konya	TR	37.871	32.485	1030
Zhangjiagang	zhangjiagang	CN	31.865	120.539	13
Agra	agra|aqra	IN	27.183	78.017	166
South Tangerang	south tangerang	ID	-6.289	106.718	39
Tabriz	tabriz|tebriz	IR	38.080	46.292	1396
Kharkiv	kharkiv|kharkov|harkov	UA	49.982	36.255	94
Jinjiang	jinjiang|tszintszyan	CN	24.820	118.574	33
Faridabad	faridabad	IN	28.411	77.313	209
Bozhou	bozhou|bochzhou	CN	33.877	115.770	40
Qujing	qujing|tsyuytszin	CN	25.483	103.783	1887
San Diego	san diego|san dieqo	US	32.716	-117.165	20
Gwangju	gwangju|kvanju|kvandzhu	KR	35.155	126.916	47
Zhanjiang	zhanjiang|chzhantszyan	CN	21.234	110.387	16
Fushun	fushun	CN	41.887	123.944	85
Rājkot	rajkot|radzhkot	IN	22.292	70.793	140
Luoyang	luoyang|loyan	CN	34.673	112.437	128
Guadalajara	guadalajara|qvadalaxara|gvadalahara	MX	20.677	-103.347	1546
The Bronx	the bronx|bronks	US	40.850	-73.866	23
Guankou	guankou|liuyang	CN	28.159	113.627	79
